case_id,group,expected_class,case_status,stop_time_s,evaluation_start_s,sample_count,evaluation_sample_count,valid_sample_count,valid_fraction,timestamp_valid_fraction,residual_ratio_valid_fraction,rmse_e_rad,rmse_e_deg,rk2_rmse_e_rad,heun_rmse_e_rad,predictor_floor_e_rad,predictor_floor_e_deg,mean_estimation_error_e_rad,mean_estimation_error_e_deg,mean_estimate_e_rad,mean_truth_error_e_rad,commanded_fixed_error_e_rad,commanded_fixed_error_e_deg,residual_rms_A,mean_residual_ratio,voltage_reconstruction_rms_V,mean_abs_speed_error_e_radps,mechanical_cycles_evaluated,simulation_elapsed_s
baseline_legacy_equivalence,baseline,baseline_equivalence,PASS,3.513305,1,70266,50266,44170,0.878725182031592,1,0.878725182031592,1.27822871164519,73.2371104297143,1.27959649421649,1.27959649421649,0.00455094517862452,0.260749951530596,-0.00161052335882743,-0.0922761912680455,-0.000561707426376928,0.00104549168841378,0,0,0.512568362382566,1.16819684410537,1.43561503574337e-15,NaN,4.00004914247576,42.2164969
fixed_00deg_e,fixed_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0131549404439339,0.753722567183364,0.0111956696331762,0.0111956696331762,0.00780169785392611,0.447004360066238,-0.00449243134911998,-0.257397356056837,-0.00440717027883131,8.81116699379022e-05,0,0,0.519652381101593,1.00313736384108,1.43081070900164e-15,NaN,4.00004914247576,19.8682924
fixed_05deg_e,fixed_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0130996335391011,0.750553714958514,0.011143236113207,0.011143236113207,0.00780242678428667,0.447046124699457,-0.00447844545770915,-0.256596023506269,0.0826259466050174,0.0871071670355561,0.0872664625997165,5,0.51835363418297,1.00265176768024,1.43911574711532e-15,NaN,4.00004914247576,31.1848719
fixed_10deg_e,fixed_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0130474617227859,0.747564490074122,0.0110585327823899,0.0110585327823899,0.00777656207062264,0.445564185768194,-0.00446189564406082,-0.255647789032491,0.170087460904725,0.174552084611245,0.174532925199433,10,0.523758607135526,1.00212668867198,1.44133459131084e-15,NaN,4.00004914247576,30.3123771
fixed_20deg_e,fixed_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0133144737915884,0.762863154695563,0.0113157669391509,0.0113157669391509,0.00789301698964294,0.452236561131595,-0.00442110103397702,-0.253310430047808,0.344362978601214,0.34878681859507,0.349065850398866,20,0.511090155495406,1.00115835971541,1.43681975131208e-15,NaN,4.00004914247576,30.5771597
periodic_constant,periodic_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0130944318732697,0.750255681459938,0.0111217991017538,0.0111217991017538,0.00778575377184546,0.446090831454807,-0.00446956966824081,-0.256087478229886,0.140993973393683,0.145466315355297,0,0,0.521517320056043,1.00229862491252,1.43718833990713e-15,NaN,4.00004914247576,30.6634312
periodic_1x,periodic_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0134856450089327,0.772670543023508,0.011576292575946,0.011576292575946,0.00790048942988906,0.452664700420361,-0.00448523578468698,-0.256985080583612,-0.00670442168861355,-0.00221627225542057,0,0,0.517991789071624,1.00336740344567,1.44295060247018e-15,NaN,4.00004914247576,29.3332629
periodic_2x,periodic_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0131080802970481,0.751037678539447,0.0111828741617406,0.0111828741617406,0.0078101441078351,0.447488294767919,-0.00448410978209009,-0.256920565387089,-0.00404129368065384,0.000445685443876242,0,0,0.519955940316755,1.00336066919081,1.44282824074831e-15,NaN,4.00004914247576,29.1359702
periodic_combined,periodic_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780997,0.822439792474545,0.0124015725243893,0.0124015725243893,0.00825192592301023,0.472800528243082,-0.00450277433538388,-0.257989965517321,-0.0302364431572898,-0.025729303344025,0,0,0.514816358188455,1.00428570639228,1.44291389504315e-15,NaN,4.00004914247576,29.1933316
speed_-20radps_m,speed_direction,ideal,PASS,3.000005,1,60000,40000,40000,1,1,1,0.0065057820088558,0.37275385153958,0.00583079971518915,0.00583079971518915,0.00353337514956176,0.202447483506295,-0.0033011441920078,-0.189141629766171,-0.00655121026674209,-0.0032488366038429,0,0,1.02136743961216,1.00103762920699,1.44023615007911e-15,NaN,6.36621363917012,16.7565492
speed_-10radps_m,speed_direction,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0122501544688437,0.70188214944807,0.0118556441916095,0.0118556441916095,0.0046410368767191,0.265911825600582,-0.00369282514447554,-0.211583295258237,0.00535088523519807,0.00904710462053247,0,0,0.507469690226796,1.00333582700112,1.43954507210921e-15,NaN,4.00004914247576,20.3538226
speed_-05radps_m,speed_direction,ideal,PASS,6.026555,1,120531,100531,100531,1,1,1,0.0225823486172451,1.29387326726123,0.0221645279157393,0.0221645279157393,0.00793436012706149,0.454605348417507,-0.00391161425464765,-0.224118987874522,0.0110001263831077,0.0149137536113575,0,0,0.256025792426973,1.0157786693614,1.43881002852148e-15,NaN,4.00000537486641,34.2887306
speed_+05radps_m,speed_direction,ideal,PASS,6.026555,1,120531,100531,85577,0.851249863226268,1,0.851249863226268,0.0369395147973208,2.11647829514754,0.0349123676755118,0.0349123676755118,0.0162314983429886,0.929996350226834,-0.00498713248449761,-0.285741643234306,-0.0780516040288328,-0.0731546420006409,0,0,0.280700077212619,1.02542683418469,1.39572575434451e-15,NaN,4.00000537486641,32.5730416
speed_+10radps_m,speed_direction,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780997,0.822439792474545,0.0124015725243893,0.0124015725243893,0.00825192592301023,0.472800528243082,-0.00450277433538388,-0.257989965517321,-0.0302364431572898,-0.025729303344025,0,0,0.514816358188455,1.00428570639228,1.44291389504315e-15,NaN,4.00004914247576,18.8035958
speed_+20radps_m,speed_direction,ideal,PASS,3.000005,1,60000,40000,40000,1,1,1,0.00833840737473542,0.4777555504331,0.00566184338157181,0.00566184338157181,0.00627723735904294,0.359659207675008,-0.00487911376636761,-0.279552626577043,-0.0103231511165737,-0.00543932437987817,0,0,1.03315317329344,1.00129951572611,1.43537539996696e-15,NaN,6.36621363917012,16.9879104
load_0Nm,load,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0104818761001808,0.600567261919408,0.0106793330651645,0.0106793330651645,0.0021154354630855,0.121205523867102,-0.000382742330344182,-0.0219295201697236,-0.0013525342870588,-0.000968330353752283,0,0,0.513155253733065,1.00326652068929,1.44482144462631e-15,NaN,4.00004914247576,19.1761306
load_1Nm,load,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780997,0.822439792474545,0.0124015725243893,0.0124015725243893,0.00825192592301023,0.472800528243082,-0.00450277433538388,-0.257989965517321,-0.0302364431572898,-0.025729303344025,0,0,0.514816358188455,1.00428570639228,1.44291389504315e-15,NaN,4.00004914247576,18.5698109
load_2Nm,load,ideal,PASS,3.513305,1,70266,50266,37385,0.74374328571997,1,0.74374328571997,0.02081145326345,1.19240843752945,0.0141165271163794,0.0141165271163794,0.016259481691387,0.931599677986708,-0.00902735765429406,-0.517229493746169,-0.0742428853534476,-0.0652058728670672,0,0,0.610798580205118,1.0104921567051,1.40658060144484e-15,NaN,4.00004914247576,20.0135942
mismatch_Rs_-10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0225546431618699,1.29228586159875,0.0226727688271228,0.0226727688271228,0.00678250017110316,0.38860863435097,0.00129590673097205,0.0742499863272938,-0.0245488488105373,-0.025729303344025,0,0,0.55664109738097,1.09322138991277,1.44291389504315e-15,NaN,4.00004914247576,18.8883905
mismatch_Rs_+10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0310949102660569,1.78160712258308,0.0282998573482176,0.0282998573482176,0.010016103748192,0.573880471936567,-0.0121978400361007,-0.698884753244275,-0.0377358307567195,-0.025729303344025,0,0,0.473252185665029,0.9158503158915,1.44291389504315e-15,NaN,4.00004914247576,18.7506306
mismatch_Ls_-10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0312238499064636,1.78899481979031,0.0239211011732754,0.0239211011732754,0.00819671296919787,0.469637059015183,-0.0163589663394142,-0.937299728445011,-0.042111016513073,-0.025729303344025,0,0,0.572111684096808,1.00495967591929,1.44291389504315e-15,NaN,4.00004914247576,18.8068896
mismatch_Ls_+10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0189103782646438,1.08348486356002,0.0257585602679714,0.0257585602679714,0.00829178943559276,0.475084539270628,0.00743525906527633,0.426008964026719,-0.0182695864481069,-0.025729303344025,0,0,0.468137299532922,1.00404690334029,1.44291389504315e-15,NaN,4.00004914247576,19.0230463
