case_id,group,expected_class,case_status,stop_time_s,evaluation_start_s,sample_count,evaluation_sample_count,valid_sample_count,valid_fraction,timestamp_valid_fraction,residual_ratio_valid_fraction,rmse_e_rad,rmse_e_deg,rk2_rmse_e_rad,heun_rmse_e_rad,predictor_disagreement_e_rad,predictor_disagreement_e_deg,predictor_floor_e_rad,predictor_floor_e_deg,mean_estimation_error_e_rad,mean_estimation_error_e_deg,mean_estimate_e_rad,mean_truth_error_e_rad,commanded_fixed_error_e_rad,commanded_fixed_error_e_deg,residual_rms_A,mean_residual_ratio,voltage_reconstruction_rms_V,voltage_ab_independent_evaluation,voltage_ab_selected_source,voltage_ab_gate_source,voltage_ab_selected_branch_rmse_e_rad,voltage_ab_selected_branch_rmse_e_deg,voltage_ab_reconstructed_branch_rmse_e_rad,voltage_ab_reconstructed_branch_rmse_e_deg,voltage_ab_plant_evaluation_branch_rmse_e_rad,voltage_ab_plant_evaluation_branch_rmse_e_deg,voltage_ab_pseudo_angle_delta_rms_e_rad,voltage_ab_pseudo_angle_delta_rms_e_deg,voltage_ab_pseudo_angle_delta_mean_e_rad,voltage_ab_pseudo_angle_delta_mean_e_deg,voltage_ab_residual_delta_rms_A,voltage_ab_voltage_delta_rms_V,voltage_ab_branches_numerically_distinct,mean_abs_speed_error_e_radps,mechanical_cycles_evaluated,simulation_elapsed_s
baseline_legacy_equivalence,baseline,baseline_equivalence,PASS,3.513305,1,70266,50266,44170,0.878725182031592,1,0.878725182031592,1.27822871164518,73.2371104297137,1.27959649421648,1.27959649421648,0.00455094517862455,0.260749951530597,0.0131549404438551,0.753722567178849,-0.00161052335885819,-0.0922761912698077,-0.000561707426444661,0.0010454916883766,0,0,0.512568362382564,1.16819684410536,1.63614031060838e-15,1,reconstructed,reconstructed_deployment_only,1.27822871164518,73.2371104297137,1.27822871164518,73.2371104297137,1.27822871164518,73.2371104297137,8.98233406169691e-16,5.14649831911836e-14,-1.23665322190531e-18,-7.08550103364297e-17,7.73348071521753e-16,1.63614031060838e-15,0,NaN,4.00004914247576,24.5445475
fixed_00deg_e,fixed_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0131549404438551,0.753722567178849,0.0111956696331735,0.0111956696331735,0.00780169785392622,0.447004360066244,0.0131549404438551,0.753722567178849,-0.00449243134914918,-0.25739735605851,-0.00440717027889805,8.81116699002092e-05,0,0,0.51965238110159,1.00313736384107,1.63139059025085e-15,1,reconstructed,reconstructed_deployment_only,0.0131549404438551,0.753722567178849,0.0131549404438551,0.753722567178849,0.0131549404438551,0.753722567178849,8.72259039152852e-16,4.99767615855949e-14,-3.40139151299634e-18,-1.94885378166308e-16,7.77830174670447e-16,1.63139059025085e-15,0,NaN,4.00004914247576,18.775375
fixed_05deg_e,fixed_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0130996335390247,0.75055371495414,0.0111432361132079,0.0111432361132079,0.00780242678428665,0.447046124699456,0.0131549404438551,0.753722567178849,-0.00447844545773878,-0.256596023507966,0.0826259466049505,0.0871071670355186,0.0872664625997165,5,0.518353634182966,1.00265176768023,1.63483379998905e-15,1,reconstructed,reconstructed_deployment_only,0.0130996335390247,0.75055371495414,0.0130996335390247,0.75055371495414,0.0130996335390247,0.75055371495414,8.67487088981718e-16,4.97033489807421e-14,1.20418094343221e-17,6.89944858287474e-16,7.74697177988256e-16,1.63483379998905e-15,0,NaN,4.00004914247576,32.8777444
fixed_10deg_e,fixed_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0130474617227084,0.74756449006968,0.01105853278239,0.01105853278239,0.00777656207062249,0.445564185768185,0.0131549404438551,0.753722567178849,-0.00446189564409061,-0.255647789034198,0.170087460904657,0.174552084611207,0.174532925199433,10,0.523758607135521,1.00212668867197,1.63836419601568e-15,1,reconstructed,reconstructed_deployment_only,0.0130474617227084,0.74756449006968,0.0130474617227084,0.74756449006968,0.0130474617227084,0.74756449006968,8.88823124882916e-16,5.09258137894204e-14,2.33238275176892e-18,1.33635687885468e-16,7.77260691700856e-16,1.63836419601568e-15,0,NaN,4.00004914247576,27.8806161
fixed_20deg_e,fixed_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0133144737915132,0.762863154691252,0.0113157669391532,0.0113157669391532,0.00789301698964251,0.45223656113157,0.0131549404438551,0.753722567178849,-0.00442110103400799,-0.253310430049582,0.344362978601146,0.348786818595033,0.349065850398866,20,0.511090155495397,1.0011583597154,1.63451244717752e-15,1,reconstructed,reconstructed_deployment_only,0.0133144737915132,0.762863154691252,0.0133144737915132,0.762863154691252,0.0133144737915132,0.762863154691252,9.24151812518346e-16,5.29499984866666e-14,2.55325233053492e-18,1.46290582571592e-16,7.74673561561915e-16,1.63451244717752e-15,0,NaN,4.00004914247576,27.9062241
periodic_constant,periodic_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0130944318731898,0.750255681455362,0.011121799101751,0.011121799101751,0.00778575377184535,0.4460908314548,0.0131549404438551,0.753722567178849,-0.00446956966827053,-0.256087478231589,0.140993973393616,0.145466315355259,0,0,0.521517320056038,1.00229862491251,1.63184358284823e-15,1,reconstructed,reconstructed_deployment_only,0.0130944318731898,0.750255681455362,0.0130944318731898,0.750255681455362,0.0130944318731898,0.750255681455361,8.77751809717211e-16,5.02914741567663e-14,-4.97398291381023e-18,-2.8498822833151e-16,7.76079360539042e-16,1.63184358284823e-15,0,NaN,4.00004914247576,27.1487045
periodic_1x,periodic_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0134856450088567,0.772670543019154,0.0115762925759451,0.0115762925759451,0.00790048942988916,0.452664700420367,0.0131549404438551,0.753722567178849,-0.0044852357847151,-0.256985080585223,-0.00670442168867903,-0.00221627225545821,0,0,0.517991789071621,1.00336740344567,1.63955746845522e-15,1,reconstructed,reconstructed_deployment_only,0.0134856450088567,0.772670543019154,0.0134856450088567,0.772670543019154,0.0134856450088567,0.772670543019154,9.05907372405956e-16,5.19046690686474e-14,-1.3517218220479e-18,-7.74479554790782e-17,7.72192936145815e-16,1.63955746845522e-15,0,NaN,4.00004914247576,27.605548
periodic_2x,periodic_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0131080802969667,0.751037678534783,0.0111828741617356,0.0111828741617356,0.0078101441078352,0.447488294767925,0.0131549404438551,0.753722567178849,-0.00448410978212237,-0.256920565388939,-0.00404129368072362,0.00044568544383856,0,0,0.519955940316752,1.0033606691908,1.63617415997887e-15,1,reconstructed,reconstructed_deployment_only,0.0131080802969667,0.751037678534783,0.0131080802969667,0.751037678534783,0.0131080802969667,0.751037678534783,8.71955370464338e-16,4.99593626513727e-14,-3.86963501998025e-18,-2.2171375490089e-16,7.72565081792224e-16,1.63617415997887e-15,0,NaN,4.00004914247576,26.9257611
periodic_combined,periodic_error,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780249,0.822439792470259,0.0124015725243852,0.0124015725243852,0.00825192592301046,0.472800528243096,0.0131549404438551,0.753722567178849,-0.00450277433541376,-0.257989965519033,-0.0302364431573569,-0.0257293033440626,0,0,0.514816358188451,1.00428570639228,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0143542822780249,0.822439792470259,0.0143542822780249,0.822439792470259,0.0143542822780249,0.82243979247026,9.83991976721239e-16,5.63785873408621e-14,-3.49857412765338e-18,-2.00453531828202e-16,7.76452685480134e-16,1.63539679537112e-15,0,NaN,4.00004914247576,26.8482072
speed_-20radps_m,speed_direction,ideal,PASS,3.000005,1,60000,40000,40000,1,1,1,0.00650578200886547,0.372753851540134,0.00583079971518826,0.00583079971518826,0.00353337514956174,0.202447483506294,0.0131549404438551,0.753722567178849,-0.0033011441920276,-0.189141629767306,-0.00655121026670104,-0.00324883660378204,0,0,1.02136743961216,1.00103762920699,1.63516552511182e-15,1,reconstructed,reconstructed_deployment_only,0.00650578200886547,0.372753851540134,0.00650578200886547,0.372753851540134,0.00650578200886547,0.372753851540134,4.1344443084903e-16,2.36886209508378e-14,3.35287353436797e-18,1.92105502760396e-16,6.20321429655748e-16,1.63516552511182e-15,0,NaN,6.36621363917012,15.7083807
