node_index,phi_m_rad,phi_m_deg,lut_e_rad,lut_e_deg,lut_m_rad,lut_m_deg,valid_mask,weight_sum,sample_hits
0,0,0,0.0760923310021204,4.35976941973397,0.00362344433343431,0.20760806760638,1,324.375000000001,609
1,0.0490873852123405,2.8125,0.0942451537992775,5.39984955225994,0.00448786446663226,0.257135692964759,1,329.75,620
2,0.098174770424681,5.625,0.110695171495115,6.34236613914695,0.00527119864262453,0.302017435197474,1,335.000000000003,630
3,0.147262155637022,8.4375,0.127448455735644,7.30225861911229,0.00606897408264971,0.347726600910109,1,341.999999999995,684
4,0.196349540849362,11.25,0.142833738677158,8.18377039827569,0.00680160660367421,0.389703352298842,1,348.749999999999,656
5,0.245436926061703,14.0625,0.156890569139964,8.98916745712539,0.00747097948285544,0.428055593196447,1,357.999999999999,717
6,0.294524311274043,16.875,0.169096471381207,9.68851414069786,0.00805221292291461,0.461357816223708,1,366.500000000002,688
7,0.343611696486384,19.6875,0.181190713826327,10.3814631892112,0.0086281292298251,0.49435538996244,1,375.000000000003,705
8,0.392699081698724,22.5,0.192074474475668,11.005056739649,0.00914640354646039,0.524050320935669,1,385.125,722
9,0.441786466911065,25.3125,0.201276774515992,11.5323096937726,0.00958460831028531,0.549157604465364,1,394.124999999998,788
10,0.490873852123405,28.125,0.209080963932087,11.9794568098356,0.00995623637771841,0.570450324277884,1,402.375,807
11,0.539961237335746,30.9375,0.217262108612513,12.4482018716099,0.010345814695834,0.59277151769571,1,412.124999999997,775
12,0.589048622548086,33.75,0.221499677219701,12.6909966681989,0.0105476036771286,0.604333174676138,1,419.375000000003,840
13,0.638136007760427,36.5625,0.226314316542841,12.9668551812925,0.0107768722163258,0.617469294347263,1,424.499999999999,798
14,0.687223392972767,39.375,0.230404281159224,13.2011928921691,0.0109716324361535,0.628628232960434,1,430.500000000002,861
15,0.736310778185108,42.1875,0.232222600492795,13.3053749157898,0.0110582190710855,0.633589281704276,1,434.999999999997,819
16,0.785398163397448,45,0.23311785451608,13.3566691929161,0.0111008502150514,0.636031866329339,1,437.250000000001,821
17,0.834485548609789,47.8125,0.23211207773338,13.2990424281352,0.0110529560825419,0.633287734673103,1,437.124999999996,821
18,0.883572933822129,50.625,0.231186539295728,13.2460129818806,0.0110088828236061,0.630762522946695,1,435.999999999996,870
19,0.93266031903447,53.4375,0.228350464225621,13.0835178499811,0.0108738316297915,0.623024659522912,1,433.249999999999,815
20,0.98174770424681,56.25,0.225153177638636,12.9003268226532,0.0107215798875541,0.614301277269198,1,429.875000000007,809
21,1.03083508945915,59.0625,0.221033933352033,12.6643115102474,0.0105254253977159,0.603062452868925,1,425.749999999999,846
22,1.07992247467149,61.875,0.216005293663393,12.3761916793964,0.0102859663649235,0.589342460923637,1,420.249999999995,788
23,1.12900985988383,64.6875,0.211034521169994,12.0913873946049,0.0100492629128568,0.575780352124041,1,414.000000000004,782
24,1.17809724509617,67.5,0.204660487756496,11.7261821815361,0.00974573751221411,0.558389627692195,1,409.374999999997,768
25,1.22718463030851,70.3125,0.197403903736405,11.3104105435028,0.00940018589220975,0.538590978262037,1,402.250000000002,755
26,1.27627201552085,73.125,0.190101406002239,10.8920082434312,0.00905244790486854,0.518667059211012,1,395.624999999998,743
27,1.32535940073319,75.9375,0.181745337931025,10.4132408096266,0.00865453990147737,0.495868609982221,1,389.500000000003,780
28,1.37444678594553,78.75,0.173930709586667,9.96549558703162,0.00828241474222223,0.474547408906267,1,381.375000000001,718
29,1.42353417115788,81.5625,0.167248643780607,9.58264141791568,0.00796422113240984,0.456316257995985,1,377.375000000001,752
30,1.47262155637022,84.375,0.159177796851739,9.12021595179542,0.00757989508817803,0.434295997704544,1,371.874999999993,700
31,1.52170894158256,87.1875,0.151913327318068,8.70399250711472,0.00723396796752704,0.41447583367213,1,367.374999999999,691
32,1.5707963267949,90,0.143754655231753,8.23653503013769,0.00684545977294062,0.39221595381608,1,362.625000000002,684
33,1.61988371200724,92.8125,0.135731988396293,7.77687008002626,0.0064634280188711,0.370327146667917,1,358.500000000003,674
34,1.66897109721958,95.625,0.128503846351578,7.362728047143,0.00611923077864656,0.350606097483,1,353.999999999997,667
35,1.71805848243192,98.4375,0.123108749727683,7.05361178052857,0.00586232141560396,0.335886275263265,1,350.875000000002,661
36,1.76714586764426,101.25,0.115393079089785,6.61153641686401,0.00549490852808502,0.314835067469715,1,349.375000000003,657
37,1.8162332528566,104.0625,0.108515751088066,6.21749454803836,0.00516741671847934,0.296071168954207,1,344.999999999995,649
38,1.86532063806894,106.875,0.102972060411258,5.89986446933121,0.00490343144815512,0.28094592711101,1,342.625000000002,686
39,1.91440802328128,109.6875,0.0982352835671285,5.62846714766731,0.00467787064605374,0.268022245127015,1,341.125000000001,642
40,1.96349540849362,112.5,0.0936837555054429,5.36768379939737,0.0044611312145449,0.255603990447494,1,339.249999999992,638
41,2.01258279370596,115.3125,0.0890785116376965,5.103822762147,0.00424183388750936,0.243039179149857,1,338.125000000006,676
42,2.0616701789183,118.125,0.0859002459618983,4.92172155275246,0.00409048790294754,0.234367692988213,1,335.625,673
43,2.11075756413064,120.9375,0.0843869790567243,4.83501774580917,0.00401842757412973,0.230238940276627,1,336.125000000001,670
44,2.15984494934298,123.75,0.0813550581557798,4.66130147436755,0.00387405038837046,0.221966736874645,1,334.750000000001,630
45,2.20893233455532,126.5625,0.0801664359175648,4.59319843668244,0.00381744932940785,0.218723735080116,1,334.374999999999,628
46,2.25801971976766,129.375,0.0784946886247062,4.49741437238921,0.0037378423154622,0.214162589161391,1,333.874999999998,628
47,2.30710710498,132.1875,0.0782013358091394,4.48060649414896,0.00372387313376854,0.213362214007093,1,333.375000000005,626
48,2.35619449019234,135,0.0777809191995212,4.45651839678064,0.00370385329521529,0.212215161751459,1,333.750000000001,626
49,2.40528187540469,137.8125,0.077762167552199,4.45544400653016,0.00370296035962853,0.21216400031096,1,333.124999999989,625
50,2.45436926061703,140.625,0.0784102153609457,4.49257441089404,0.00373381977909265,0.213932114804478,1,333.375000000007,629
51,2.50345664582937,143.4375,0.0788076203661426,4.5153440404492,0.00375274382695917,0.215016382878533,1,333.374999999999,628
52,2.55254403104171,146.25,0.0797664517884198,4.57028103421021,0.00379840246611523,0.217632430200486,1,333.5,628
53,2.60163141625405,149.0625,0.0812928742777354,4.65773860060185,0.00387108925132073,0.221797076219136,1,333.999999999997,669
54,2.65071880146639,151.875,0.0821319075261984,4.70581166460993,0.00391104321553326,0.22408626974333,1,334.000000000003,627
55,2.69980618667873,154.6875,0.0833928723484844,4.77805962704138,0.00397108915945164,0.227526648906732,1,334.625000000003,630
56,2.74889357189107,157.5,0.0841587138104222,4.82193911058655,0.0040075578004963,0.229616148123169,1,335.249999999996,627
57,2.79798095710341,160.3125,0.0844800691442871,4.84035141494102,0.00402286043544224,0.230492924521001,1,335.124999999996,630
58,2.84706834231575,163.125,0.0847823687832021,4.85767190839918,0.00403725565634296,0.231317709923771,1,335.375000000005,630
59,2.89615572752809,165.9375,0.0859067943406683,4.92209674721864,0.00409079973050801,0.234385559391364,1,335.875000000001,670
60,2.94524311274043,168.75,0.0842906017858693,4.82949573494819,0.00401383818027949,0.229975987378485,1,336.000000000001,633
61,2.99433049795277,171.5625,0.0845420278915057,4.84390138966057,0.00402581085197646,0.230661970936218,1,335.499999999996,633
62,3.04341788316511,174.375,0.0830310563954429,4.7573290999716,0.00395385982835443,0.226539480951029,1,336.125000000002,633
63,3.09250526837745,177.1875,0.0811407990791614,4.64902533355495,0.00386384757519816,0.221382158740712,1,335.874999999998,634
64,3.14159265358979,180,0.07869899887963,4.50912048770759,0.00374757137522047,0.214720023224171,1,335.624999999998,671
65,3.19068003880213,182.8125,0.0750021498670844,4.29730664179162,0.00357153094605164,0.204633649609125,1,335.125000000002,633
66,3.23976742401447,185.625,0.0706780050125017,4.04955139162082,0.0033656192863096,0.192835780553373,1,334.5,669
67,3.28885480922681,188.4375,0.0652597331613909,3.73910728229764,0.00310760634101862,0.178052727728459,1,333.750000000002,629
68,3.33794219443916,191.25,0.0589870848056302,3.37971100514288,0.0028089088002681,0.160938619292518,1,333.124999999996,627
69,3.3870295796515,194.0625,0.0520542795707731,2.98249052499936,0.00247877521765586,0.142023358333303,1,331.875000000005,661
70,3.43611696486384,196.875,0.0445343839572795,2.55163224396724,0.00212068495034664,0.121506297331773,1,317.5,579
71,3.48520435007618,199.6875,0.0356322368678295,2.04157678713708,0.00169677318418236,0.0972179422446229,1,255.250000000001,528
72,3.53429173528852,202.5,0.0254964058343874,1.46083644706313,0.00121411456354226,0.0695636403363393,1,247.999999999998,496
73,3.58337912050086,205.3125,0.0149554281499899,0.856882913805566,0.000712163245237614,0.0408039482764555,1,247.25,465
74,3.6324665057132,208.125,0.00341476809147731,0.195651799657593,0.000162608004356063,0.00931675236464729,1,247.499999999999,466
75,3.68155389092554,210.9375,-0.0081854305072005,-0.468990621560217,-0.000389782405104786,-0.0223328867409627,1,247.625000000002,466
76,3.73064127613788,213.75,-0.020409473898959,-1.16937671649276,-0.000971879709474238,-0.0556846055472745,1,248.499999999999,495
77,3.77972866135022,216.5625,-0.0345342933747389,-1.97866925883914,-0.00164449016070185,-0.0942223456590068,1,249.499999999997,499
78,3.82881604656256,219.375,-0.0499258975172548,-2.86054321614137,-0.00237742369129785,-0.13621634362578,1,271.125000000002,526
79,3.8779034317749,222.1875,-0.0645165372362382,-3.69652529243507,-0.00307221605886848,-0.176025013925479,1,334.249999999997,616
80,3.92699081698724,225,-0.0793794675924174,-4.54810847304101,-0.00377997464725797,-0.216576593954334,1,341.875000000001,644
81,3.97607820219958,227.8125,-0.0958362990185462,-5.49101545791645,-0.00456363328659744,-0.26147692656745,1,347.875000000003,655
82,4.02516558741192,230.625,-0.112752478948137,-6.46024117336593,-0.00536916566419701,-0.307630532065044,1,352.749999999999,665
83,4.07425297262426,233.4375,-0.126407563971301,-7.24261991408552,-0.0060194078081572,-0.344886662575501,1,359.749999999992,676
84,4.1233403578366,236.25,-0.142384248774493,-8.15801652391924,-0.00678020232259493,-0.388476977329488,1,368.250000000002,736
85,4.17242774304894,239.0625,-0.160011606762076,-9.16798974057394,-0.00761960032200362,-0.43657094002733,1,379.500000000005,712
86,4.22151512826128,241.875,-0.175089279239319,-10.0318767384005,-0.00833758472568187,-0.477708416114311,1,390.124999999996,732
87,4.27060251347362,244.6875,-0.190729400274698,-10.9279896648015,-0.00908235239403322,-0.520380460228643,1,403.750000000004,810
88,4.31968989868597,247.5,-0.205959916822032,-11.8006339827679,-0.00980761508676344,-0.561934951560378,1,418.374999999996,785
89,4.36877728389831,250.3125,-0.220164891887983,-12.6145191021355,-0.0104840424708563,-0.600691385815975,1,435.624999999999,817
90,4.41786466911065,253.125,-0.233702541554052,-13.3901692925279,-0.0111286924549549,-0.637627109167996,1,453.750000000004,914
91,4.46695205432299,255.9375,-0.248769907083808,-14.2534657457638,-0.0118461860516099,-0.678736464083992,1,476.875000000005,896
92,4.51603943953533,258.75,-0.260902096719158,-14.9485890081218,-0.012423909367579,-0.711837571815323,1,499.499999999993,1002
93,4.56512682474767,261.5625,-0.272139851281381,-15.592464915741,-0.0129590405372086,-0.742498329321002,1,523.75,984
94,4.61421420996001,264.375,-0.282403995486545,-16.1805570590106,-0.0134478093088831,-0.770502717095741,1,548.125000000004,1029
95,4.66330159517235,267.1875,-0.291412922361473,-16.6967305468859,-0.0138768058267368,-0.795082406994568,1,572.624999999996,1073
96,4.71238898038469,270,-0.29888360838355,-17.1247693260183,-0.0142325527801691,-0.815465206000874,1,595.625000000001,1117
97,4.76147636559703,272.8125,-0.305582586749836,-17.508592513456,-0.0145515517499922,-0.833742500640761,1,618.874999999997,1162
98,4.81056375080937,275.625,-0.311157388254523,-17.8280051112977,-0.0148170184883106,-0.84895262434751,1,639.124999999999,1199
99,4.85965113602171,278.4375,-0.314167938999425,-18.0004969629906,-0.0149603780475917,-0.85716652204717,1,652.375000000002,1224
100,4.90873852123405,281.25,-0.317263555429323,-18.1778627194151,-0.0151077883537773,-0.865612510448337,1,664.625,1326
101,4.95782590644639,284.0625,-0.318342222051623,-18.2396657643745,-0.0151591534310297,-0.868555512589262,1,669.749999999998,1256
102,5.00691329165873,286.875,-0.317718356336292,-18.2039208919031,-0.0151294455398234,-0.86685337580491,1,666.625,1250
103,5.05600067687107,289.6875,-0.314430842844628,-18.0155602437384,-0.0149728972783156,-0.857883821130401,1,653.250000000002,1226
104,5.10508806208341,292.5,-0.310518772664991,-17.7914151332863,-0.0147866082221424,-0.847210244442204,1,637.374999999999,1194
105,5.15417544729575,295.3125,-0.304782996658002,-17.4627793758534,-0.0145134760313334,-0.831560922659685,1,616.125000000003,1236
106,5.20326283250809,298.125,-0.298216450241211,-17.0865439801945,-0.0142007833448196,-0.813644951437835,1,593.374999999996,1113
107,5.25235021772044,300.9375,-0.290251830554791,-16.6302048867359,-0.0138215157407043,-0.791914518415993,1,568.750000000002,1068
108,5.30143760293278,303.75,-0.280680342674073,-16.0817990275101,-0.0133657306035273,-0.765799953690956,1,543.249999999998,1082
109,5.35052498814512,306.5625,-0.27021233177701,-15.4820261832114,-0.0128672538941433,-0.737239342057686,1,517.374999999995,970
110,5.39961237335746,309.375,-0.257946965280044,-14.7792724487541,-0.0122831888228592,-0.7037748785121,1,492.25,924
111,5.4486997585698,312.1875,-0.243811375455051,-13.969362810854,-0.0116100654978596,-0.665207752897807,1,466.875000000003,877
112,5.49778714378214,315,-0.229069681618622,-13.1247259711525,-0.0109080800770772,-0.624986951007262,1,444.124999999997,833
113,5.54687452899448,317.8125,-0.214231041031023,-12.2745344917716,-0.0102014781443344,-0.584501642465314,1,424.750000000004,797
114,5.59596191420682,320.625,-0.198053134358066,-11.3476087180546,-0.00943110163609839,-0.540362319907363,1,406,763
115,5.64504929941916,323.4375,-0.179167895993902,-10.2655642646895,-0.0085318045711382,-0.488836393556642,1,388.249999999998,730
116,5.6941366846315,326.25,-0.161211914014294,-9.23676228024499,-0.00767675781020449,-0.439845822868809,1,373.999999999999,749
117,5.74322406984384,329.0625,-0.142057994621954,-8.13932353793013,-0.00676466641056926,-0.38758683513953,1,360.875,680
118,5.79231145505618,331.875,-0.122147451601167,-6.99853345502537,-0.00581654531434129,-0.333263497858351,1,350.500000000005,658
119,5.84139884026852,334.6875,-0.102713457707983,-5.88504762586289,-0.00489111703371346,-0.280240363136328,1,340.999999999999,680
120,5.89048622548086,337.5,-0.0826978937736485,-4.73824028785127,-0.00393799494160231,-0.225630489897679,1,333.624999999998,627
121,5.9395736106932,340.3125,-0.0622348425373093,-3.56579381604907,-0.00296356393034806,-0.169799705526146,1,327.750000000001,616
122,5.98866099590554,343.125,-0.0412237481568763,-2.36194678509922,-0.00196303562651792,-0.112473656433296,1,322.625,607
123,6.03774838111788,345.9375,-0.0220401305586323,-1.26280646092694,-0.00104953002660154,-0.060133640996521,1,321.125000000001,604
124,6.08683576633022,348.75,-0.00291575935106255,-0.167060704891688,-0.000138845683383931,-0.00795527166150895,1,317.624999999997,637
125,6.13592315154256,351.5625,0.0215564454928389,1.23509334804347,0.0010264974044209,0.0588139689544511,1,318.375000000001,598
126,6.18501053675491,354.375,0.038462418196761,2.20373423254159,0.00183154372365529,0.104939725359123,1,319.750000000001,601
127,6.23409792196725,357.1875,0.0568142129942401,3.25521462092728,0.00270543871401144,0.155010220044156,1,321.749999999999,604
