phase,case_id,expected_class,control_angle_gate_basis,nodes,elapsed_s,coverage_fraction,solve_count,solver_relative_difference,normal_equation_relative_residual,rcond,shadow_rmse_e_deg,active_rmse_e_deg,active_max_error_e_deg,lut_improvement_fraction,control_angle_improvement,id_rms_improvement,prediction_residual_improvement,torque_ripple_improvement,iq_tracking_change,mean_torque_change,lut_drift_e_deg
M64,fixed_00deg_e,,,64,25.143746,1,19,2.74820881625639e-16,1.52921512391824e-16,0.330603746741582,0.256815991207497,0.252899988889113,0.263362589065363,-47.7750093583897,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M64,fixed_05deg_e,,,64,40.6740561,1,19,2.85398131714911e-16,1.57008793001069e-16,0.332165070137924,0.256074246754574,0.324954924705388,0.337256112407081,0.934916170442547,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M64,fixed_10deg_e,,,64,40.0266613,1,19,2.64893394232221e-16,1.5563011849986e-16,0.331640148281593,0.25520435054865,0.392544068919819,0.403269647289696,0.960674299718764,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M64,fixed_20deg_e,,,64,39.3856327,1,18,2.79181694645133e-16,1.57139391017176e-16,0.313660669504831,0.253336746132241,0.788301336892709,0.808869625946883,0.960556302187941,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M64,periodic_constant,,,64,40.8907139,1,19,2.76155489865578e-16,1.42874259809253e-16,0.329633986517637,0.255812142537626,0.380343093178386,0.391427776634402,0.954547044217374,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M64,periodic_1x,,,64,38.6697575,1,19,2.10772821658992e-16,1.39915485059789e-16,0.259007558808939,0.257816475235762,0.280214712032661,0.438132852920027,0.968501059695526,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M64,periodic_2x,,,64,38.7740208,1,19,2.32413744565668e-16,1.39974215743635e-16,0.315833487432113,0.25766190233866,0.255896650765883,0.327875354622381,0.942311043704992,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M64,periodic_combined,,,64,38.3356391,1,18,2.57342302931349e-16,1.67443638955527e-16,0.159777265916738,0.256063347159905,0.304029573328837,0.480755247602904,0.969413783433186,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M128_REPLAY,fixed_00deg_e,,,128,0,1,19,2.02251845430024e-16,1.7039845450936e-16,0.503754539466256,0.256899966424379,0.253156590941329,0.279261352717242,-23.0034061596595,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M128_REPLAY,fixed_05deg_e,,,128,0,1,19,2.1654066748818e-16,1.56996945799191e-16,0.511064645808838,0.256086027838122,0.324977694532511,0.342896704302644,0.934911661200339,NaN,NaN,NaN,NaN,NaN,NaN,NaN
