node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,node_weight,node_hits
0,0,-0.00434001878488859,-0.00425215016689468,0.000124382882351758,1,1675.63429894362,3256
1,0.098174770424681,0.0169112585512786,0.016547775061421,0.0213621162241268,1,1677.19996100329,3361
2,0.196349540849362,0.0376240867589329,0.0370975290415195,0.0422179577748415,1,1684.98038903326,3379
3,0.294524311274043,0.05875222050619,0.0578642137834957,0.063100221371531,1,1702.03074463472,3310
4,0.392699081698724,0.0788503123076494,0.0777072505606594,0.0833687189833041,1,1725.10344738344,3353
5,0.490873852123405,0.0991030903081374,0.0975635445608431,0.103123099446687,1,1759.43278012441,3520
6,0.589048622548086,0.116375118859012,0.114706380002252,0.120884764269264,1,1794.61014793687,3492
7,0.687223392972767,0.133744619539815,0.131785199023364,0.138099106482445,1,1839.54417195924,3575
8,0.785398163397448,0.150223565574455,0.148105556362949,0.154228572913395,1,1889.36872443556,3672
9,0.883572933822129,0.163812335522383,0.16133341806037,0.168182052080366,1,1939.96863602942,3774
10,0.98174770424681,0.176912590903277,0.174477070232329,0.181224765877028,1,1995.65453275406,4008
11,1.07992247467149,0.189131835066652,0.186287235529903,0.192898581693938,1,2051.18418922619,3985
12,1.17809724509617,0.197325508836641,0.194442542309648,0.201763986868566,1,2099.6044728531,4083
13,1.27627201552085,0.205706883045151,0.202515770264453,0.209548558077576,1,2146.84515922508,4171
14,1.37444678594553,0.210545856794784,0.207485755149155,0.214787019118986,1,2181.90187456349,4507
15,1.47262155637022,0.214695437782235,0.211316072418172,0.218565323302644,1,2208.3452594403,4294
16,1.5707963267949,0.216003759353394,0.212550702101998,0.220197562946608,1,2223.25170382953,4322
17,1.66897109721958,0.216328304120704,0.212965563815825,0.220026018083861,1,2226.70395784845,4328
18,1.76714586764426,0.212670040987176,0.209237063838349,0.216659111946966,1,2212.66697911819,4299
19,1.86532063806894,0.206568808751829,0.203398559657045,0.210873444675005,1,2177.38870272562,4236
20,1.96349540849362,0.19982724958334,0.196792129902965,0.20377456583059,1,2139.4539751094,4163
21,2.0616701789183,0.189953016174847,0.187231348108882,0.19447546720385,1,2093.005311283,4326
22,2.15984494934298,0.180220066151494,0.177757007297781,0.184094447546515,1,2046.18580244532,3972
23,2.25801971976766,0.16658358189846,0.164188253975727,0.171010872339155,1,1992.75969875382,3875
24,2.35619449019234,0.151980801672296,0.149981581778168,0.156513065522507,1,1940.12863854549,3773
25,2.45436926061703,0.136869245792615,0.134736928603473,0.140929702401412,1,1892.89233030874,3675
26,2.55254403104171,0.118475563452892,0.116832108311801,0.123068901343072,1,1845.87766566621,3591
27,2.65071880146639,0.100050666846639,0.0986323741232795,0.104415228958528,1,1805.50523961343,3623
28,2.74889357189107,0.0800624392528165,0.0789672729213073,0.0848150616996844,1,1771.89581636292,3443
29,2.84706834231575,0.0607604537387712,0.0599287748636744,0.06489128247126,1,1745.61773566633,3498
30,2.94524311274043,0.038541642843477,0.0379784223328879,0.0432807041242093,1,1725.98024995735,3356
31,3.04341788316511,0.0171663574332372,0.0168670163268684,0.0216760857708745,1,1714.11748668951,3335
32,3.14159265358979,-0.00459333274834497,-0.00460692037192165,-7.36611102575419e-05,1,1711.01957875001,3327
33,3.23976742401447,-0.0264424150824427,-0.0260429961177806,-0.0218414089130356,1,1716.00431098478,3335
34,3.33794219443916,-0.0475731931837722,-0.0468985906620129,-0.0434517293904093,1,1729.44379589265,3471
35,3.43611696486384,-0.0708897942488337,-0.069733699753172,-0.0655559435320768,1,1751.45875801618,3511
36,3.53429173528852,-0.0890623393803692,-0.0878183009452716,-0.0849045393115253,1,1777.94568798105,3455
37,3.6324665057132,-0.109091495836094,-0.107445444977933,-0.104387547790281,1,1813.49943251304,3526
38,3.73064127613788,-0.127448202310631,-0.125673668745623,-0.123118302088915,1,1857.74612147296,3728
39,3.82881604656256,-0.146108453787383,-0.143953503377992,-0.141209819284718,1,1963.1899432815,3848
40,3.92699081698724,-0.160495030236935,-0.15819099320761,-0.156352524632207,1,2148.29959117825,4148
41,4.02516558741192,-0.175509030558568,-0.17297404041953,-0.17079500072884,1,2211.30366319237,4271
42,4.1233403578366,-0.188482284110792,-0.185720610042351,-0.183520128940601,1,2135.49781527126,4181
43,4.22151512826128,-0.199085718014649,-0.196126558854474,-0.194467591967866,1,2126.15583854444,4265
44,4.31968989868597,-0.208286485518939,-0.205128509919638,-0.203872330681443,1,2179.08345178903,4238
45,4.41786466911065,-0.217457657375167,-0.214093450550701,-0.211522201790024,1,2223.35811322397,4318
46,4.51603943953533,-0.217594145104462,-0.214419927529823,-0.214030067039363,1,2240.29575106353,4364
47,4.61421420996001,-0.223309991525886,-0.219719715350492,-0.21809277057189,1,2266.69008658599,4405
48,4.71238898038469,-0.22414103412641,-0.220616383405127,-0.219289189402631,1,2274.0207758196,4422
49,4.81056375080937,-0.222652569700888,-0.219110650930684,-0.217603852060637,1,2261.72454026038,4397
50,4.90873852123405,-0.217636057403312,-0.214539480476328,-0.213788824124661,1,2236.76196997568,4359
51,5.00691329165873,-0.216570225802989,-0.213160994425189,-0.210473081367609,1,2212.77068516205,4299
52,5.10508806208341,-0.20570792992707,-0.20261153627723,-0.201550178081672,1,2159.88411787562,4203
53,5.20326283250809,-0.196613608689609,-0.193627201064763,-0.191893434872503,1,2105.5188506881,4228
54,5.30143760293278,-0.186224869913429,-0.183529475494261,-0.181299729207562,1,2050.76328686916,3988
55,5.39961237335746,-0.173153010145127,-0.170671155368936,-0.168322855077036,1,1993.8079813345,3877
56,5.49778714378214,-0.157789597614102,-0.155516963096882,-0.15335146077873,1,1934.2854035773,3760
57,5.59596191420682,-0.142936271909263,-0.140962221752291,-0.138135974429786,1,1883.94531542218,3662
58,5.6941366846315,-0.126229176406095,-0.124397440047507,-0.12128592507743,1,1834.75397479252,3567
59,5.79231145505618,-0.106522298046931,-0.10499285467372,-0.102291719152348,1,1788.90806982969,3584
60,5.89048622548086,-0.088375372761703,-0.0869797065668933,-0.0835049941433262,1,1752.75056730251,3405
61,5.98866099590554,-0.0679758652696504,-0.0670161823511223,-0.0633727018631531,1,1722.23781241807,3348
