node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid
0,0,0.0697430516431411,0.0695270577084447,0.0758696657944137,1
1,0.098174770424681,0.104872723747914,0.104050982177528,0.110945394879258,1
2,0.196349540849362,0.137355030906392,0.135544402812722,0.142618125010304,1
3,0.294524311274043,0.165003971244319,0.161959977787024,0.169445709159238,1
4,0.392699081698724,0.184715523687792,0.182401801740786,0.191659540605051,1
5,0.490873852123405,0.206248732117966,0.20141136774646,0.209396359896922,1
6,0.589048622548086,0.216904814814813,0.211951227852886,0.2219106088964,1
7,0.687223392972767,0.226005903872101,0.221258669281944,0.229774728491228,1
8,0.785398163397448,0.227730627874127,0.222783676266002,0.232424246360601,1
9,0.883572933822129,0.227099689154161,0.221199384164601,0.230787125461994,1
10,0.98174770424681,0.218723553862215,0.215581393291303,0.225251131182646,1
11,1.07992247467149,0.212677168318962,0.207899169758207,0.216248325600934,1
12,1.17809724509617,0.199863384780795,0.195557575648016,0.204605494680599,1
13,1.27627201552085,0.185569778481544,0.180998866201149,0.190136570678017,1
14,1.37444678594553,0.169161437791134,0.165650551071882,0.174372010204357,1
15,1.47262155637022,0.153220324772198,0.150694190300906,0.159012590468882,1
16,1.5707963267949,0.136142321566268,0.13396350106776,0.143289960438036,1
17,1.66897109721958,0.122269881271998,0.120933770282174,0.128403905123616,1
18,1.76714586764426,0.108913630686148,0.106741350208247,0.115235391755108,1
19,1.86532063806894,0.0975232284955974,0.0961532967918302,0.103408868749712,1
20,1.96349540849362,0.0898687645462004,0.0859949086850266,0.0938663999552152,1
21,2.0616701789183,0.0810353327329467,0.0791640985939654,0.0865702532992128,1
22,2.15984494934298,0.0757399095382361,0.0745203164852144,0.0817158904415944,1
23,2.25801971976766,0.0731302645743286,0.071373949204046,0.0788273028315387,1
24,2.35619449019234,0.0725075718262196,0.0703902882417397,0.0778516644230959,1
25,2.45436926061703,0.0719345350711675,0.0710746079207533,0.0782936609820709,1
26,2.55254403104171,0.0744342697773547,0.0730561347174999,0.0800875335644107,1
27,2.65071880146639,0.0767711247932436,0.075527526525135,0.0822997365537976,1
28,2.74889357189107,0.078710192796128,0.0771083229474644,0.0841321005750652,1
29,2.84706834231575,0.0802346918085356,0.0787320209297226,0.085133588019364,1
30,2.94524311274043,0.0795405873527084,0.0778115555684788,0.0847333299818973,1
31,3.04341788316511,0.0774222420130403,0.0759974619310533,0.0825350983122363,1
32,3.14159265358979,0.0735850648576859,0.0713968965984909,0.0780512693753549,1
33,3.23976742401447,0.0663523013494259,0.0640342028840717,0.0703312471496424,1
34,3.33794219443916,0.0537040040404278,0.0527715708183616,0.058665948633912,1
35,3.43611696486384,0.0389120296365593,0.0381511020567905,0.0439654856296086,1
36,3.53429173528852,0.0213077017400953,0.0207764955545221,0.0256847814379784,1
37,3.6324665057132,-0.00111928950595561,-0.00116604981956041,0.00394681590252977,1
38,3.73064127613788,-0.0255903288590233,-0.0252293137157075,-0.021047475678981,1
39,3.82881604656256,-0.0554998947472175,-0.0536054017817723,-0.0497835776734566,1
40,3.92699081698724,-0.0832692714526211,-0.0822114161451408,-0.0795483954044758,1
41,4.02516558741192,-0.11595595557318,-0.115511803795223,-0.11177177523863,1
42,4.1233403578366,-0.148026819485988,-0.14541833169059,-0.142990779529074,1
43,4.22151512826128,-0.180345883768089,-0.177358599020712,-0.17531410445035,1
44,4.31968989868597,-0.210992310290388,-0.207320440728122,-0.205869510786178,1
45,4.41786466911065,-0.239430704459018,-0.234875774033041,-0.234401056415332,1
46,4.51603943953533,-0.266073299240989,-0.261590814639953,-0.260802448609144,1
47,4.61421420996001,-0.287548656795166,-0.281819952142609,-0.282262850151409,1
48,4.71238898038469,-0.306332744383244,-0.298938410797261,-0.298928802119393,1
49,4.81056375080937,-0.317409009301631,-0.309155163120649,-0.310442309746037,1
50,4.90873852123405,-0.323349662594698,-0.314923695192241,-0.316332926291406,1
51,5.00691329165873,-0.323201614567128,-0.315273974922513,-0.316562177378035,1
52,5.10508806208341,-0.317616867300066,-0.309678886863195,-0.310254659434933,1
53,5.20326283250809,-0.304056412267409,-0.297481729253341,-0.298101485495759,1
54,5.30143760293278,-0.286901507275585,-0.281629266636725,-0.280835319053602,1
55,5.39961237335746,-0.264302432304985,-0.258486452418428,-0.257632337500456,1
56,5.49778714378214,-0.23497422483093,-0.230152199237553,-0.229213712208644,1
57,5.59596191420682,-0.205169528501409,-0.200680571470037,-0.197751316831481,1
58,5.6941366846315,-0.16562911945608,-0.164060889356299,-0.161263216830106,1
59,5.79231145505618,-0.12726570862592,-0.125626996357578,-0.122499591109464,1
60,5.89048622548086,-0.0870431081336693,-0.0865860183305692,-0.082708616153086,1
61,5.98866099590554,-0.0445935293752001,-0.0464166533106807,-0.0415538058835246,1
62,6.08683576633022,-0.00691849873067939,-0.00627007616073498,-0.00125425510135423,1
63,6.18501053675491,0.0334711105960528,0.0331861200397823,0.0389374892311693,1
