node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid
0,0,0.0765336966348514,0.0564842211648901,0.0759175630389791,1
1,0.098174770424681,0.111674316486582,0.0824254465508443,0.110427776854021,1
2,0.196349540849362,0.142003856288033,0.105735077291843,0.141859350961389,1
3,0.294524311274043,0.169427510552111,0.125573220006028,0.16967566908556,1
4,0.392699081698724,0.191589131757314,0.139993919339823,0.19201958022692,1
5,0.490873852123405,0.21074779240047,0.152415600905811,0.210113980327508,1
6,0.589048622548086,0.221271240326902,0.159169021645174,0.221398029975923,1
7,0.687223392972767,0.229625494509005,0.163481547872684,0.229637551758619,1
8,0.785398163397448,0.233444746657252,0.166068549153993,0.23242505932244,1
9,0.883572933822129,0.22837022484878,0.163336822736853,0.229699942275945,1
10,0.98174770424681,0.222525536714075,0.160547825349499,0.225376453375834,1
11,1.07992247467149,0.2172994367788,0.155886250104589,0.216361459966199,1
12,1.17809724509617,0.203710910856529,0.147628718093719,0.20394733657067,1
13,1.27627201552085,0.189955360477836,0.137923539719966,0.190064603894235,1
14,1.37444678594553,0.17474599999963,0.128000473574987,0.174916626616408,1
15,1.47262155637022,0.157299620862954,0.116572031270304,0.158685223588252,1
16,1.5707963267949,0.142111278652917,0.105928731678703,0.143096034166103,1
17,1.66897109721958,0.127785548221853,0.0955778688769467,0.128483657607291,1
18,1.76714586764426,0.114926809266392,0.0859789978259235,0.115367426796377,1
19,1.86532063806894,0.102601105606228,0.0771196307592583,0.103523652263525,1
20,1.96349540849362,0.0930768199333583,0.0697544648245639,0.093687815914033,1
21,2.0616701789183,0.0858935029740565,0.064017514347599,0.0856642490586413,1
22,2.15984494934298,0.0799171141344132,0.0597085528100988,0.0808901904174275,1
23,2.25801971976766,0.0783875141782096,0.0583511592428709,0.0789705720885002,1
24,2.35619449019234,0.0772564521046935,0.0577363608826765,0.078389427551115,1
25,2.45436926061703,0.0774356735993458,0.0583953712177417,0.0791235883652384,1
26,2.55254403104171,0.0797444165499194,0.0595468310555361,0.0802844331315468,1
27,2.65071880146639,0.0819030976256481,0.0611773250936638,0.0817999648249607,1
28,2.74889357189107,0.0830857056537127,0.062650007578772,0.0833135949773328,1
29,2.84706834231575,0.0850898634673509,0.0619521585639189,0.08479681073473,1
30,2.94524311274043,0.0851463940285004,0.0613098228687425,0.0843459983982962,1
31,3.04341788316511,0.0843379262122868,0.0659012721280701,0.0817443506385008,1
32,3.14159265358979,0.0744550638233119,0.0587519867945525,0.0784151859330732,1
33,3.23976742401447,0.0735154125474812,0.0551763098774634,0.0703157879613514,1
34,3.33794219443916,0.0572607354249199,0.0462125130976514,0.0581062292219652,1
35,3.43611696486384,0.0436778436189317,0.0351718515189242,0.0438117799856284,1
36,3.53429173528852,0.0252412206180851,0.0209497746064142,0.0256105989123611,1
37,3.6324665057132,0.00482129524871909,0.00441478340022355,0.00395066384585832,1
38,3.73064127613788,-0.0201865550163199,-0.0141734703962911,-0.0208965146476122,1
39,3.82881604656256,-0.049183352637209,-0.0358278053799154,-0.0488861080162286,1
40,3.92699081698724,-0.0788706011621736,-0.0593860976020229,-0.0791879673422615,1
41,4.02516558741192,-0.110479336904738,-0.0838380091724935,-0.110713169434846,1
42,4.1233403578366,-0.142781904997717,-0.108464982335626,-0.143208475752165,1
43,4.22151512826128,-0.174901589841566,-0.131084054188384,-0.174859775073074,1
44,4.31968989868597,-0.20495088951408,-0.149749220335095,-0.20533512083152,1
45,4.41786466911065,-0.234478595892247,-0.167933348162106,-0.234909358716151,1
46,4.51603943953533,-0.262531765011248,-0.181242256506926,-0.260669184638972,1
47,4.61421420996001,-0.282320228690774,-0.191655274437782,-0.281307540195779,1
48,4.71238898038469,-0.301458006686679,-0.197430846645349,-0.299152468922093,1
49,4.81056375080937,-0.313740619311006,-0.202232330269933,-0.311136683266149,1
50,4.90873852123405,-0.319349688627739,-0.203462166330684,-0.317308882549602,1
51,5.00691329165873,-0.319626136244434,-0.203515403615831,-0.317510892621309,1
52,5.10508806208341,-0.313218953486856,-0.201979807010261,-0.311120709962077,1
53,5.20326283250809,-0.301575735138279,-0.197996778256287,-0.299324570005357,1
54,5.30143760293278,-0.281610830346304,-0.190844389866309,-0.280912928447597,1
55,5.39961237335746,-0.259720517596549,-0.179340389450632,-0.257571817916705,1
56,5.49778714378214,-0.230832397853495,-0.16414717525755,-0.229436974302083,1
57,5.59596191420682,-0.198182558101317,-0.144252900138142,-0.196828620781268,1
58,5.6941366846315,-0.161955790518985,-0.121702549987722,-0.160539415469847,1
59,5.79231145505618,-0.125082832815767,-0.095010222207907,-0.122622944331794,1
60,5.89048622548086,-0.0833395198436745,-0.0649170429975616,-0.0823836305096417,1
61,5.98866099590554,-0.04134784838667,-0.0326227730855283,-0.0415206690190228,1
62,6.08683576633022,-0.000202899555170028,-0.000928765260093919,-0.00067687844396022,1
63,6.18501053675491,0.040586498068968,0.0291088515214933,0.0390789273359074,1
