phase,case_id,amplitude_mode,nodes,coverage_fraction,fusion_count,shadow_rmse_e_deg,active_rmse_e_deg,active_improvement_fraction,scheme4_shadow_difference_e_deg,scheme4_active_difference_e_deg,control_angle_improvement,control_angle_gate_basis,id_rms_improvement,prediction_residual_improvement,torque_ripple_improvement,iq_tracking_change,mean_torque_change,lut_drift_e_deg,tangent_rms,radial_rms,valid_fraction
M64_NOMINAL,fixed_00deg_e,nominal_model,64,1,19,0.431167853152991,0.42537102470037,-81.0382626416221,0.175381587123704,0.172859724152427,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0274597109848512,0.0415673597273981,NaN
M64_NOMINAL,fixed_05deg_e,nominal_model,64,1,19,0.42412232426328,0.486390702402509,0.902582890220252,0.169497470437997,0.161900047455317,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0285815896030914,0.0402333896349737,NaN
M64_NOMINAL,fixed_10deg_e,nominal_model,64,1,19,0.418994175065344,0.557159116352781,0.944182897785361,0.165784648139286,0.16528446700323,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0323252702789513,0.0391624627680211,NaN
M64_NOMINAL,fixed_20deg_e,nominal_model,64,1,18,0.411704465158603,0.936898723450717,0.95312103582881,0.16071654795856,0.149642460116827,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0422266489005864,0.0366650002415518,NaN
M64_NOMINAL,periodic_constant,nominal_model,64,1,19,0.397744708261802,0.511542635597775,0.93886802412408,0.144725809272466,0.13208286122232,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0308105921060524,0.039460430608229,NaN
M64_NOMINAL,periodic_1x,nominal_model,64,1,19,0.439487460384933,0.436510919455257,0.950931800495294,0.184723043192083,0.171275499819727,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0308059103147364,0.0426309494033596,NaN
M64_NOMINAL,periodic_2x,nominal_model,64,1,19,0.434735559263069,0.422776722630473,0.904689851151317,0.182305919697392,0.171000884654726,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0284175203891841,0.0419961109454712,NaN
M64_NOMINAL,periodic_combined,nominal_model,64,1,18,0.418774051393453,0.438354357204274,0.955900338392559,0.168426259993743,0.172930909076791,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0310109925565769,0.0447629267207232,NaN
M128_NOMINAL_REPLAY,fixed_00deg_e,nominal_model,128,1,19,0.43179236796345,0.425564043562023,-39.3504666680143,0.176186836057857,0.173595383799381,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0274538288011828,0.0415612198744576,NaN
M128_NOMINAL_REPLAY,fixed_05deg_e,nominal_model,128,1,19,0.424134186903177,0.49658013510338,0.900542170682559,0.169271351054359,0.172144622869717,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0297313090152466,0.0403078197351,NaN
M128_NOMINAL_REPLAY,fixed_10deg_e,nominal_model,128,1,19,0.417259417978865,0.574150609395659,0.942480687949259,0.16379379047665,0.182436939672529,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0364413385518358,0.0393447434618245,NaN
M128_NOMINAL_REPLAY,fixed_20deg_e,nominal_model,128,1,18,0.411298104783889,0.939139708294023,0.953008905499329,0.160448849808738,0.152332418406418,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0534019970994856,0.0372725592280014,NaN
M128_NOMINAL_REPLAY,periodic_constant,nominal_model,128,1,19,0.398437184826645,0.527962066186601,0.936905804040249,0.144489965256144,0.148528417851745,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0337525373296126,0.0396029972855194,NaN
M128_NOMINAL_REPLAY,periodic_1x,nominal_model,128,1,19,0.435446924142265,0.442915785899514,0.950233317382204,0.182263022774358,0.174636612084075,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0338101648726471,0.0426414994976656,NaN
M128_NOMINAL_REPLAY,periodic_2x,nominal_model,128,1,19,0.429770621080743,0.425647685932559,0.904263895396173,0.178385902591118,0.170383335702647,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0293438194414955,0.0419927011955782,NaN
M128_NOMINAL_REPLAY,periodic_combined,nominal_model,128,1,18,0.428364469907467,0.455924891890134,0.95414936501294,0.1758603855576,0.180514227637001,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0341162203880649,0.0447914497993445,NaN
M64_DIAGNOSTIC,fixed_00deg_e,measured_magnitude,64,1,19,0.325512745273459,0.32117260547781,-60.9422598895692,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0274193668326046,0.000787618504950763,NaN
M64_DIAGNOSTIC,fixed_00deg_e,direction_normalized,64,1,19,0.326468067372894,0.322078002463068,-61.116877320843,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0374422841169364,0.00107552202117147,NaN
M64_DIAGNOSTIC,fixed_05deg_e,measured_magnitude,64,1,19,0.322805957762708,0.385962040269774,0.922697316659106,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0.0284912242847118,0.000896748545133319,NaN
