fusion_event,time_s,mechanical_cycles,coverage_fraction,shadow_rmse_e_deg,active_rmse_e_deg,improvement_fraction
1,1.63855,1.00000000000009,1,2.9932524910212,8.42615563627302,0.152305421163844
2,1.9903,1.50000000000013,1,1.0383129716583,7.04886715936776,0.290864453985424
3,2.2762,2.00097656250006,1,0.854040556339925,5.8696623216235,0.409495724453544
4,2.6278,2.50195312500003,1,0.722329586399214,4.77962549772553,0.519156445930413
5,2.9129,3.00292968749996,1,0.65554575850357,3.80331611210153,0.617375872343285
6,3.26415,3.50390624999993,1,0.387644918514707,3.04642000582157,0.693521715564324
7,3.54795,4.0039062500001,1,0.395243287153246,2.44590634391662,0.753935052047512
8,3.89825,4.50390625000032,1,0.452659256112494,1.94687452259758,0.804139034487362
9,4.18225,5.00488281250022,1,0.455642109339022,1.55303028761329,0.843760854604812
10,4.5326,5.50585937500003,1,0.428094077032554,1.25084643501231,0.874161386557837
11,4.81605,6.00683593749981,1,0.429261352712344,1.01576784721443,0.897810943138406
12,5.1663,6.50781249999961,1,0.43205446917894,0.832110021607374,0.916287428720721
13,5.44915,7.00878906249939,1,0.434668501882618,0.696029907508195,0.929977464840241
14,5.7994,7.50976562499919,1,0.434421152104018,0.597668310480576,0.939872913745438
15,6.08175,8.01074218749896,1,0.432539127392732,0.528634032432061,0.946817953189485
16,6.4321,8.51171874999877,1,0.442993194514192,0.483794693402199,0.951328914801752
17,6.71345,9.01171874999903,1,0.445348885289584,0.45648001628776,0.954076846920747
18,7.0626,9.51171874999938,1,0.426895593033965,0.438354357204274,0.955900338392559
