node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid
0,0,0.0686711811462193,0.0674369554632128,0.0765589475414,1
1,0.098174770424681,0.0840280473695719,0.0826332356065449,0.0897548899624917,1
2,0.196349540849362,0.0947259122217879,0.0928906388672565,0.100650074982036,1
3,0.294524311274043,0.100806684919405,0.0990906043545212,0.107330417130992,1
4,0.392699081698724,0.102736973419363,0.101230657190299,0.109393293442157,1
5,0.490873852123405,0.101163857541046,0.0992154221734799,0.107647957731894,1
6,0.589048622548086,0.0941825773435329,0.0933727964255906,0.101735540491874,1
7,0.687223392972767,0.0852365788400374,0.0835288660997872,0.0915925289717281,1
8,0.785398163397448,0.0718543359805974,0.0703783639083002,0.0779817106936102,1
9,0.883572933822129,0.0520726984077001,0.052439286892321,0.0612836354943312,1
10,0.98174770424681,0.0363065992690655,0.0366594555445571,0.0429994026028735,1
11,1.07992247467149,0.0140303099796793,0.0137130235780197,0.0216583785723928,1
12,1.17809724509617,-0.00764266904062058,-0.00736798005268374,0.000108239031449975,1
13,1.27627201552085,-0.0298631739794807,-0.0294553762431869,-0.0216210422125666,1
14,1.37444678594553,-0.048914626362881,-0.0485957933046313,-0.0423765266669619,1
15,1.47262155637022,-0.069328358126578,-0.0685433911510891,-0.0610260591100076,1
16,1.5707963267949,-0.0860150078385187,-0.0847758560737924,-0.0780340702653754,1
17,1.66897109721958,-0.0999915357556071,-0.0986971651361366,-0.0918142904242811,1
18,1.76714586764426,-0.10912105447061,-0.108459507426516,-0.101741158320665,1
19,1.86532063806894,-0.115380197780447,-0.114341955377335,-0.107529410657233,1
20,1.96349540849362,-0.118421402014815,-0.116362700432324,-0.109543790684469,1
21,2.0616701789183,-0.115576869230999,-0.113869074998433,-0.107193514370028,1
22,2.15984494934298,-0.108473565356856,-0.107243796082519,-0.100760004546124,1
23,2.25801971976766,-0.0995123557168899,-0.0975912867855294,-0.0903405649344124,1
24,2.35619449019234,-0.0848870177897862,-0.0830195123330139,-0.076696989720785,1
25,2.45436926061703,-0.0665031011408439,-0.0671150011942478,-0.0603382244781358,1
26,2.55254403104171,-0.0493377852372031,-0.0484888607633524,-0.0416731588071802,1
27,2.65071880146639,-0.0284768990535299,-0.0283288185165386,-0.0212054580331162,1
28,2.74889357189107,-0.00684188811713497,-0.00703448984171033,8.13145003807252e-05,1
29,2.84706834231575,0.0139288868254571,0.0136498776202979,0.0212645055074604,1
30,2.94524311274043,0.0343177053408979,0.0339222090720873,0.0418067994147417,1
31,3.04341788316511,0.0554342559642989,0.0538015119801095,0.060438635151774,1
32,3.14159265358979,0.0698388219598301,0.0685887445479551,0.0769836266032835,1
33,3.23976742401447,0.0827579159641497,0.0823502847085596,0.0899204956342366,1
34,3.33794219443916,0.0935289204891963,0.0926296829128026,0.100557907031258,1
35,3.43611696486384,0.0996511024979613,0.0993900360589329,0.107244840593217,1
36,3.53429173528852,0.10268515962559,0.101309679917397,0.10925212018315,1
37,3.6324665057132,0.101557596578219,0.0994718749484416,0.107570646943692,1
38,3.73064127613788,0.0961819129690255,0.0934074777792594,0.101684500258054,1
39,3.82881604656256,0.0854483246206098,0.0836198041924009,0.0916704219239487,1
40,3.92699081698724,0.0712992095814703,0.070421338692042,0.0778839964176158,1
41,4.02516558741192,0.0536336774860647,0.0532475376886998,0.0615109729754831,1
42,4.1233403578366,0.0321785727095537,0.0355057953788265,0.0424692531198541,1
43,4.22151512826128,0.0137413428747789,0.0141915542502827,0.0217588838745829,1
44,4.31968989868597,-0.00783447131968545,-0.00718624874811161,1.38776167465927e-05,1
45,4.41786466911065,-0.0326072996693772,-0.0294348641453513,-0.0218852222167436,1
46,4.51603943953533,-0.0490490803403662,-0.0483244826181848,-0.042095269187283,1
47,4.61421420996001,-0.0697479000473846,-0.068526166058934,-0.0615333078664021,1
48,4.71238898038469,-0.0866472216442891,-0.0850564020534249,-0.0780289241839043,1
49,4.81056375080937,-0.100055418020374,-0.0984306038217179,-0.0917432442187303,1
50,4.90873852123405,-0.109947708251944,-0.108454033343708,-0.101696762984653,1
51,5.00691329165873,-0.115274322349146,-0.113808521291676,-0.107450468020199,1
52,5.10508806208341,-0.118427371844923,-0.116578734094266,-0.109391035208108,1
53,5.20326283250809,-0.115575062539396,-0.11380016207161,-0.107024448074058,1
54,5.30143760293278,-0.109082399981928,-0.107821423307588,-0.101030535888052,1
55,5.39961237335746,-0.0988723463258291,-0.0975195512172363,-0.0903364889622129,1
56,5.49778714378214,-0.0849230012234712,-0.0834096279315191,-0.0763882360077877,1
57,5.59596191420682,-0.0679558927769355,-0.0677421444733834,-0.0605251572517063,1
58,5.6941366846315,-0.0491219942762782,-0.0486739262267835,-0.0417949748906122,1
59,5.79231145505618,-0.0281475178414004,-0.0280524883140834,-0.0212543394276957,1
60,5.89048622548086,-0.00861372984294137,-0.0077854339084501,-3.90557871881374e-05,1
61,5.98866099590554,0.0138895416826582,0.0140082707889166,0.0212212335524588,1
62,6.08683576633022,0.0348803590740648,0.0341370128717068,0.0418074585046983,1
63,6.18501053675491,0.055293931522603,0.0537117031027727,0.0606573858891024,1
