node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,update_hits,effective_weight,innovation_variance
0,0,0.070674500876179,0.0682407106592444,0.0757259422821771,1,1520,807.265583667894,1.24782862144228e-07
1,0.0490873852123405,0.089360949643783,0.0867106503640295,0.0942456209730029,1,1545,819.84347284867,1.18191081341932e-07
2,0.098174770424681,0.105575819393265,0.102357211899835,0.110843489695757,1,1572,833.905473192235,1.35973092817766e-07
3,0.147262155637022,0.121730439524327,0.118353571856561,0.127254093615049,1,1703,849.832102434271,1.31976113369392e-07
4,0.196349540849362,0.138584653301266,0.133863876668102,0.142805448423283,1,1637,867.493208337286,1.49655040096412e-07
5,0.245436926061703,0.15216514505785,0.147183126817301,0.156919151975773,1,1789,890.129258371404,1.42732854753104e-07
6,0.294524311274043,0.164788076000573,0.159903620840705,0.169553871991624,1,1716,911.258574382369,1.688870940621e-07
7,0.343611696486384,0.17680210621215,0.171160112253486,0.181183119162608,1,1755,933.002814719914,1.85690835476295e-07
8,0.392699081698724,0.186924089332038,0.181551308625503,0.191988164380883,1,1800,957.105241180245,1.88394502885123e-07
9,0.441786466911065,0.195010876311689,0.189845154551451,0.201010265588369,1,1960,977.833518613514,1.79924795065865e-07
10,0.490873852123405,0.205133931996502,0.199464344638061,0.209521956947984,1,2010,1000.30375968829,1.82800765049669e-07
11,0.539961237335746,0.213359341910758,0.207454967896555,0.217160039250947,1,1928,1023.63720630325,2.11933307578888e-07
12,0.589048622548086,0.217604895373675,0.210843444628457,0.222017567555157,1,2092,1042.47792342543,1.93434337943682e-07
13,0.638136007760427,0.222018250506147,0.216199185369801,0.2263098577922,1,1988,1054.49100653849,2.25572123652244e-07
14,0.687223392972767,0.224736244948572,0.219131496481571,0.230272604075044,1,2144,1068.99930747516,2.12177402395937e-07
15,0.736310778185108,0.226907408924266,0.221046110804113,0.232171146177369,1,2038,1080.27078798095,2.36755635811403e-07
16,0.785398163397448,0.226486512240395,0.220722211341086,0.232650856208697,1,2042,1083.96680773528,2.32022437713277e-07
17,0.834485548609789,0.227072123707133,0.220084883540667,0.232223276698065,1,2042,1084.07792567058,2.44397887964827e-07
18,0.883572933822129,0.226789027198207,0.21934196622991,0.231003850728098,1,2169,1082.46081911007,2.0820474406612e-07
19,0.93266031903447,0.22333990505973,0.21674113348583,0.228905183324914,1,2030,1076.62186906364,2.07933036983996e-07
20,0.98174770424681,0.220024240710449,0.214207074874665,0.225503035208003,1,2016,1069.17615531268,2.16437180086157e-07
21,1.03083508945915,0.215856367927233,0.20914922789629,0.221019335125724,1,2110,1057.01414713012,2.02128451433594e-07
22,1.07992247467149,0.211029116057127,0.204104607401781,0.216090554015044,1,1963,1043.11861612912,2.03216191793416e-07
23,1.12900985988383,0.207541717293576,0.200933270267087,0.211675979875632,1,1948,1031.09639444222,2.09706683613274e-07
24,1.17809724509617,0.198647690363773,0.193651270800723,0.204405926145347,1,1917,1016.69178262253,1.95531205085386e-07
25,1.22718463030851,0.192794543522471,0.185639214738057,0.197714381334626,1,1883,999.195338141893,1.90111457291283e-07
26,1.27627201552085,0.185895163517411,0.179651199655151,0.190297463680353,1,1852,983.805913695258,1.86953167231936e-07
27,1.32535940073319,0.176827127504576,0.170761326728449,0.181987663931119,1,1941,968.164905300792,1.66774203736751e-07
28,1.37444678594553,0.170046318722273,0.163348637388982,0.17411467339649,1,1792,949.284517715754,1.66506328522881e-07
29,1.42353417115788,0.162457542163589,0.156866151540847,0.167031196079542,1,1878,937.997853765508,1.59847846758366e-07
30,1.47262155637022,0.152731767477179,0.147672370457853,0.158836473572543,1,1744,924.704647875885,1.62528860130011e-07
31,1.52170894158256,0.145831734497885,0.141132809830609,0.151119754746258,1,1715,911.785232646476,1.56137151635585e-07
32,1.5707963267949,0.138810208039739,0.133195370073895,0.143291105851474,1,1699,901.103287099127,1.50830176297778e-07
33,1.61988371200724,0.128843112557753,0.125523793909204,0.135271394851196,1,1677,890.66496589322,1.53230443891297e-07
