sweep_family,value,condition,active_rmse_e_deg,shadow_rmse_e_deg,fusion_count,finite
mu2,0.0025,zero_noise,0.395716450297779,0.2693184286517,18,1
mu2,0.005,zero_noise,0.337024967632965,0.281101487022403,18,1
mu2,0.01,zero_noise,0.354496906330388,0.311473329542537,18,1
mu2,0.02,zero_noise,0.411518567788278,0.368970395147242,18,1
epsilon2,0,zero_noise,0.336891390072622,0.281554320777791,18,1
epsilon2,0.01,zero_noise,0.337024967632965,0.281101487022403,18,1
epsilon2,0.1,zero_noise,0.339470904704944,0.277672168879829,18,1
decimation,1,zero_noise,0.337024967632965,0.281101487022403,18,1
decimation,2,zero_noise,0.39955486537754,0.278557122341692,18,1
decimation,4,zero_noise,0.843320300060336,0.389164582045448,18,1
smoothing,0,zero_noise,0.337024967632965,0.281101487022403,18,1
smoothing,0.001,zero_noise,0.337153031026508,0.28110365763075,18,1
smoothing,0.01,zero_noise,0.338331069095843,0.281154481563451,18,1
gamma,0.1,zero_noise,1.51912474603893,0.281101487022403,18,1
gamma,0.2,zero_noise,0.337024967632965,0.281101487022403,18,1
gamma,0.4,zero_noise,0.288855935856754,0.281101487022403,18,1
nodes,128,zero_noise,0.417522980802695,0.290574829122837,18,1
algorithm_variant,NaN,zero_noise,0.337024820955831,0.281080648855031,18,1
mu2,0.0025,noise95_pm0p1A,0.395998802864487,0.273923294006763,18,1
mu2,0.005,noise95_pm0p1A,0.337770265582154,0.288557786024727,18,1
mu2,0.01,noise95_pm0p1A,0.355936309443124,0.321398931641731,18,1
mu2,0.02,noise95_pm0p1A,0.412446122821084,0.380246600497686,18,1
epsilon2,0,noise95_pm0p1A,0.337651572425399,0.289077936229424,18,1
epsilon2,0.01,noise95_pm0p1A,0.337770265582154,0.288557786024727,18,1
epsilon2,0.1,noise95_pm0p1A,0.340062491196779,0.284581693737704,18,1
decimation,1,noise95_pm0p1A,0.337770265582154,0.288557786024727,18,1
decimation,2,noise95_pm0p1A,0.429314958446025,0.409742199301566,18,1
decimation,4,noise95_pm0p1A,0.846267333195456,0.473502437100652,18,1
smoothing,0,noise95_pm0p1A,0.337770265582154,0.288557786024727,18,1
smoothing,0.001,noise95_pm0p1A,0.337887151726539,0.288531794632978,18,1
smoothing,0.01,noise95_pm0p1A,0.338977593744856,0.28835346692675,18,1
gamma,0.1,noise95_pm0p1A,1.51972450742584,0.288557786024727,18,1
gamma,0.2,noise95_pm0p1A,0.337770265582154,0.288557786024727,18,1
gamma,0.4,noise95_pm0p1A,0.29188603770995,0.288557786024727,18,1
nodes,128,noise95_pm0p1A,0.418913769585213,0.295851840625509,18,1
algorithm_variant,NaN,noise95_pm0p1A,0.337754899262443,0.288444856961814,18,1
