sweep_family,setting,value,condition,nodes,mode,active_rmse_e_deg,shadow_rmse_e_deg,active_max_error_e_deg,fusion_count,coverage_fraction,finite
mu2,0.0025000000000000001,0.0025,zero_noise,64,atan2,0.395716450297779,0.2693184286517,0.631239763686343,18,1,1
mu2,0.0050000000000000001,0.005,zero_noise,64,atan2,0.337024967632965,0.281101487022403,0.509898276271374,18,1,1
mu2,0.01,0.01,zero_noise,64,atan2,0.354496906330388,0.311473329542537,0.57063050035597,18,1,1
mu2,0.02,0.02,zero_noise,64,atan2,0.411518567788278,0.368970395147242,0.690583790839652,18,1,1
epsilon2,0,0,zero_noise,64,atan2,0.336891390072622,0.281554320777791,0.510047567418183,18,1,1
epsilon2,0.01,0.01,zero_noise,64,atan2,0.337024967632965,0.281101487022403,0.509898276271374,18,1,1
epsilon2,0.10000000000000001,0.1,zero_noise,64,atan2,0.339470904704944,0.277672168879829,0.516856902276142,18,1,1
decimation,1,1,zero_noise,64,atan2,0.337024967632965,0.281101487022403,0.509898276271374,18,1,1
decimation,2,2,zero_noise,64,atan2,0.39955486537754,0.278557122341692,0.738476523034771,18,1,1
decimation,4,4,zero_noise,64,atan2,0.843320300060336,0.389164582045448,1.51576716624119,18,1,1
smoothing,0,0,zero_noise,64,atan2,0.337024967632965,0.281101487022403,0.509898276271374,18,1,1
smoothing,0.001,0.001,zero_noise,64,atan2,0.337153031026508,0.28110365763075,0.510124280165724,18,1,1
smoothing,0.01,0.01,zero_noise,64,atan2,0.338331069095843,0.281154481563451,0.512303784134324,18,1,1
gamma,0.10000000000000001,0.1,zero_noise,64,atan2,1.51912474603893,0.281101487022403,2.40553760265576,18,1,1
gamma,0.20000000000000001,0.2,zero_noise,64,atan2,0.337024967632965,0.281101487022403,0.509898276271374,18,1,1
gamma,0.40000000000000002,0.4,zero_noise,64,atan2,0.288855935856754,0.281101487022403,0.361659975134731,18,1,1
nodes,128,128,zero_noise,128,atan2,0.417522980802695,0.290574829122837,0.6944472743357,18,1,1
algorithm_variant,atan2_free,NaN,zero_noise,64,atan2_free,0.337024820955831,0.281080648855031,0.509886802180012,18,1,1
mu2,0.0025000000000000001,0.0025,noise95_pm0p1A,64,atan2,0.395998802864487,0.273923294006763,0.633202187835724,18,1,1
mu2,0.0050000000000000001,0.005,noise95_pm0p1A,64,atan2,0.337770265582154,0.288557786024727,0.52883715907763,18,1,1
mu2,0.01,0.01,noise95_pm0p1A,64,atan2,0.355936309443124,0.321398931641731,0.587020278138679,18,1,1
mu2,0.02,0.02,noise95_pm0p1A,64,atan2,0.412446122821084,0.380246600497686,0.701684580173681,18,1,1
epsilon2,0,0,noise95_pm0p1A,64,atan2,0.337651572425399,0.289077936229424,0.528976039881702,18,1,1
epsilon2,0.01,0.01,noise95_pm0p1A,64,atan2,0.337770265582154,0.288557786024727,0.52883715907763,18,1,1
epsilon2,0.10000000000000001,0.1,noise95_pm0p1A,64,atan2,0.340062491196779,0.284581693737704,0.530152477252009,18,1,1
decimation,1,1,noise95_pm0p1A,64,atan2,0.337770265582154,0.288557786024727,0.52883715907763,18,1,1
decimation,2,2,noise95_pm0p1A,64,atan2,0.429314958446025,0.409742199301566,0.9499050531733,18,1,1
decimation,4,4,noise95_pm0p1A,64,atan2,0.846267333195456,0.473502437100652,1.56807561494694,18,1,1
smoothing,0,0,noise95_pm0p1A,64,atan2,0.337770265582154,0.288557786024727,0.52883715907763,18,1,1
smoothing,0.001,0.001,noise95_pm0p1A,64,atan2,0.337887151726539,0.288531794632978,0.529218227000187,18,1,1
smoothing,0.01,0.01,noise95_pm0p1A,64,atan2,0.338977593744856,0.28835346692675,0.532498920763071,18,1,1
gamma,0.10000000000000001,0.1,noise95_pm0p1A,64,atan2,1.51972450742584,0.288557786024727,2.42461003675468,18,1,1
gamma,0.20000000000000001,0.2,noise95_pm0p1A,64,atan2,0.337770265582154,0.288557786024727,0.52883715907763,18,1,1
gamma,0.40000000000000002,0.4,noise95_pm0p1A,64,atan2,0.29188603770995,0.288557786024727,0.472264616900352,18,1,1
nodes,128,128,noise95_pm0p1A,128,atan2,0.418913769585213,0.295851840625509,0.696948717566291,18,1,1
algorithm_variant,atan2_free,NaN,noise95_pm0p1A,64,atan2_free,0.337754899262443,0.288444856961814,0.528633952875208,18,1,1
